0,1,2,3,4,5,6,7,8
B057586722088,_ЁЧисленное моделирование процессов распространения и дифракции упругих и акустических волн в трехмерных средах,_ЁВ работе изложены результаты численного моделирования процессов дифракции стационарных акустических и упругих волн на трехмерном включении в однородной среде. Методом потенциалов исходные дифференциальные задачи сведены к системам интегральных уравнений,WLH\_ЁХабаровск\_Ёакустические волны\_Ёвключение\_Ёдифракция\_Ёупругие волны\акустические среды\включение\дифракция\численные методы,e8\f2\f5,13Б\16Г\18П,27.35.35\29.37.03\30.51.21,271.35.35\291.37.03.15\301.51.21.05.13,###
B05758672210X,_ЁЧисленное исследование медленных поперечных движений длинного трубопровода,"_ЁРассматривается задача о движении подземного криволинейного трубопровода под действием давления и трения от внутреннего потока жидкости и давления, и вязкого трения внешней среды. Построена геометрически нелинейная двумерная математическая модель системы в специальной криволинейной системе координат",_Ёвязкое трение\_Ётрубопровод\гидроупругость\проектирование трубопроводов\теоретические исследования\трубопроводы\трубопроводы криволинейные\уравнения движения\учет геометрической нелинейности,e8\f2\f4,13Б\16Г\45,27.35.31\30.51.39\73.39.31,271.35.31\301.51.39.07.05\733.39.31.10.10,###
B057586722134,_ЁОб одном итерационном методе решения задачи квазистационарного распределения температуры в окрестности сварного шва,"_ЁВ настоящей работе исследуется эффективность одного итерационного метода решения эллиптического уравнения в применении к задаче вычисления квазистационарного поля температуры в окрестности сварного шва. Эта задача сводится к решению эллиптического уравнения. Для решения задачи выбран, так называемый, эвристический метод",_ЁХабаровск\_Ёквазистационарное распределение температуры\_Ёсварной шов\Россия\квазистационарное распределение\методы расчета\сварные соединения\температурные поля\тепловые процессы\эвристические методы,e8\f1,13Б\63,27.35.45\81.35.03,271.35.45.19\812.35.03.03,###
B057586722142,_ЁЧисленная модель динамики океана со свободной поверхностью,"_ЁПредложена вычислительная схема для модели динамики океана со свободной поверхностью, базирующейся на полной системе нелинейных уравнений термогидродинамики океана",_ЁХабаровск\_Ёдинамика океана\_Ётермогидродинамика\динамика океана\методы\система нелинейных уравнений\термогидродинамика,e8\e4,13Б\09И,27.35.63\37.25.03,271.35.63\372.25.03.17,###
B09688733146X,_ЁПовышение эффективности процесса компаундирования товарных бензинов методом математического моделирования на физико-химической основе,"_ЁПредложенная модель позволяет рассчитывать октановые числа бензинов после узла смешения по моторному и исследовательскому методам. Данная модель может быть использована при разработке оптимальных рецептур приготовления бензинов требуемых марок. Для проверки модели на адекватность были проведены расчеты с использованием данных с промышленных установок, погрешность расчетов не превышает требования ГОСТ","_ЁУфа\_Ёдетонационная стойкость\_Ёпроцесс компаундирования бензина\бензин\компаундирование, повышение эффективности\моделирование математическое\октановое число\расчет\товарный",e8\f7,93\93-Y\19П,29.03.77\61.51.29,299.03.77\611.51.29.21,###
B09890850196,"Флуоресценция органических молекул из микрорезонатора, облучаемого ультракоротким лазерным импульсом","Получена замкнутая система уравнений для спектральной плотности мод светового поля органических молекул, помещенных в сферической резонатор, при их двухфотонном возбуждении лазерным фс-импульсом. Установлено, что развитие суперфлуоресценции в моде возможно лишь при достаточно высокой концентрации органических молекул, обеспечивающей необходимую величину притока энергии в моду в результате суперфлуоресценции для того, чтобы уравновесить отток энергии из моды за счет ее излучательной релаксации","двухфотонное возбуждение молекул лазерным фс-импульсом\импульсное, воздействие\лазерное излучение\органические молекулы в сферическом резонаторе\органические соединения\резонаторы\суперфлуоресценция, порог генерации эффекта в сферическом резонаторе\теор. анализ\флуоресценция\фотолюминесценция конденсированных сред",f5\f7,18Л\19Б4,29.31.23\31.15.29,291.31.23.15.17.27\311.15.29.15,###
B103499201654,Новые модуляторы натриевых каналов,"Потенциал-зависимые натриевые каналы _- важнейшие компоненты нервной системы, обеспечивающие восходящую фазу потенциала действия. Неудивительно поэтому, что эти белки являются мишенью действия разнообразных биологически активных веществ, многие из которых находят применение в медицине и биотехнологии. Общепринятая классификация лигандов натриевых каналов основана на предполагаемых местах связывания лигандов с каналом (так называемых рецепторных сайтах) с однозначно соответствующих им эффектах. В результате комплексных исследований, проводимых в ИБХ РАН, было выделено и охарактеризовано множество полипептидных модуляторов натриевых каналов из природных ядов. Например, из европейских и среднеазиатских пауков Agelena orientalis, Heriaeus melloteei и Misumena vatia получены вещества, проявляющие различную активность (блокаторы, активаторы) в отношении различных типов натриевых каналов (млекопитающих, насекомых). Исследование механизма действия токсинов из A. orientalis выявило одновременное модулирование процессов активации и инактивации каналов насекомых. Этот и ряд других примеров показывают, что многообразие лигандов натриевых каналов не укладывается в узкие рамки существующей классификации, которая должна быть пересмотрена. Россия, Ин-т биоорган. хим. им. акад. М.М. Шемякина и Ю.А. Овчинникова РАН, 117997 Москва. E-mail: annikolsky@gmail.com",модуляторы ионных каналов\натриевые каналы,e3,04М3,34.39.15,341.39.15.09,###
B10451504414,Оценка паразитарной чистоты рыбного сырья пресноводных водоемов Европейской части России,"Среди паразитов и болезней, не представляющих опасности для здоровья людей и животных, но снижающих товарный вид рыб, в водоемах европейской части РФ распространены постодиплостомоз, лигулоз, диграммоз и дерматофибросаркома судака. Экономический ущерб от этих заболеваний рыб не подсчитывался, но в ряде случаев он может быть весьма значительный. Современное состояние пресноводных водоемов европейской части России по паразитам, опасным для человека и животных, а также снижающим качество рыбного сырья, в целом можно охарактеризовать как неблагополучное с тенденцией к ухудшению. В настоящее время отмечается массовая зараженность рыб двумя метабоцекариями трематод, относящихся к родам Apophallus и Rossicotrema, которые являются условно патогенными для человека. Метацеркарии третьего паразита _- Paracoenogonimus ovatus _- распространены у разных видов рыб, преимущественно карповых с крайне высокой экстенсивностью и интенсивностью инвазии. Данное обстоятельство, с одной стороны, может приводить к путанице при выявлении заражения рыб личинками описторхид, а с другой, может послужить основой для выбраковки рыб согласно санитарно-эпидемиологическим правилам и нормам. По полученным в ходе исследования результатам практически вся рыба пресноводных водоемов европейской части России должна реализовываться не в свежем виде, а только после кулинарной обработки или утилизироваться",Европейская часть России\болезни рыб\диагностика\зараженность\зараженность паразитами\паразитарные заболевания\пресноводные рыбы\рыбы пресноводные,e3\e4,04И9\07Д\36\04И4,34.33.23\34.33.33\39.19.25\39.25.15,341.33.23.02\341.33.33.29.11.27\391.19.25.31\391.25.15.17.25,###
B10502516422,Некоторые особенности функционирования водных экосистем бассейна р.__Илексы (национальный парк _5Водлозерский_6),"Для водоемов Водлозерского нац. парка, особенно для озерно-речной системы р.__Илексы, характерны интенсивно идущие русловые процессы и четко выраженные процессы обмеления и зарастания. Для изучения природной евтрофикации водоемов предлагается организовать многолетние наблюдения по типу мониторинговых на отдельных ключевых участках",Водлозерский\Карелия\Россия\водоемы\деформация речных русел\евтрофикация\национальные парки\особо охраняемые природные территории\река Илекса,f3\e4\e5,72\09И\08Е,37.27.25\38.61.15\87.31.91,372.27.25.15\383.61.15.27\873.31.91.15,###
B1056195487,Паразитологический контроль при использовании гольцов в аквакультуре,"Приведены данные о разведении гольцов (род Salvelinus) _- объектов акклиматизации, местного промысла, спортивного и любительского рыболовства _- и их наиболее опасных паразитах. В естественных водоемах Камчатки отмечены миксоспоридиозы гольцов: воспаление желчного пузыря или желтуха и дерматоз, вызыванный Mexosoma dermatobia. Выявленные случаи заболеваний, а также гельминтозы гольцов (дифиллоботриозы, диплостомозы, нематодозы и др.) имеют большое значение для холодноводного рыбоводства как в заводских условиях, так и в естественных водоемах",Камчатка\аквакультура\болезни рыб\гольцы\доминирующие виды\инвазивность\паразитические простейшие\паразитофауна\рыбоводство,e3,04И9\04И4,34.33.23\34.33.33,341.33.23.09.09\341.33.33.29.11.23,###
